platform,user_id,post_id,event_time,likes,comments,shares
Facebook,user_fb_477,post_8475,2025-05-10 05:05:04,2730,500,87
Facebook,user_fb_63,post_8079,2025-05-10 05:05:11,1138,629,153
Facebook,user_fb_33,post_4736,2025-05-10 05:05:12,115,539,184
Facebook,user_fb_333,post_8348,2025-05-10 05:05:13,351,186,68
Facebook,user_fb_365,post_2447,2025-05-10 05:05:14,2074,577,73
Facebook,user_fb_80,post_3089,2025-05-10 05:05:28,598,424,82
Twitter,user_tw_173,tweet_83790,2025-05-10 05:05:18,1319,1,297
Twitter,user_tw_19,tweet_95473,2025-05-10 05:05:24,898,39,418
Twitter,user_tw_470,tweet_16436,2025-05-10 05:05:29,221,36,468
TikTok,user_tt_492,,2025-05-10 05:05:01,747,276,35
TikTok,user_tt_361,,2025-05-10 05:05:02,1064,265,76
TikTok,user_tt_28,,2025-05-10 05:05:06,4657,166,280
TikTok,user_tt_45,,2025-05-10 05:05:07,4090,46,255
TikTok,user_tt_62,,2025-05-10 05:05:08,5776,535,91
TikTok,user_tt_488,,2025-05-10 05:05:10,7074,527,130
TikTok,user_tt_266,,2025-05-10 05:05:15,2000,470,127
TikTok,user_tt_17,,2025-05-10 05:05:24,324,437,148
TikTok,user_tt_303,,2025-05-10 05:05:26,3181,162,68
Instagram,user_ig_29,post_1855,2025-05-10 05:05:05,58,400,65
Instagram,user_ig_409,post_9256,2025-05-10 05:05:08,4319,51,68
Instagram,user_ig_277,post_8629,2025-05-10 05:05:16,590,52,81
Instagram,user_ig_230,post_3650,2025-05-10 05:05:19,3084,443,51
Instagram,user_ig_459,post_4732,2025-05-10 05:05:21,644,304,1
Instagram,user_ig_368,post_3679,2025-05-10 05:05:22,1819,345,68
Instagram,user_ig_144,post_7508,2025-05-10 05:05:25,1298,60,75
