platform,user_id,post_id,event_time,likes,comments,shares
Facebook,user_fb_265,post_5597,2025-05-10 05:04:11,535,83,4
Facebook,user_fb_281,post_3350,2025-05-10 05:04:16,1153,239,60
Facebook,user_fb_63,post_2747,2025-05-10 05:04:18,2958,459,85
Facebook,user_fb_121,post_2816,2025-05-10 05:04:20,2666,458,41
Facebook,user_fb_199,post_8492,2025-05-10 05:04:21,88,276,127
Facebook,user_fb_100,post_4893,2025-05-10 05:04:25,1621,439,189
Facebook,user_fb_457,post_7268,2025-05-10 05:04:27,763,667,144
Twitter,user_tw_254,tweet_36150,2025-05-10 05:04:02,579,86,133
Twitter,user_tw_419,tweet_26290,2025-05-10 05:04:06,1205,245,94
Twitter,user_tw_318,tweet_35692,2025-05-10 05:04:13,1018,71,475
Twitter,user_tw_206,tweet_99011,2025-05-10 05:04:22,1992,177,257
Twitter,user_tw_454,tweet_17577,2025-05-10 05:04:27,721,83,287
TikTok,user_tt_300,,2025-05-10 05:04:04,20,550,228
TikTok,user_tt_475,,2025-05-10 05:04:07,356,230,227
TikTok,user_tt_175,,2025-05-10 05:04:15,3690,65,3
TikTok,user_tt_105,,2025-05-10 05:04:23,1933,328,32
TikTok,user_tt_497,,2025-05-10 05:04:25,7109,302,62
Instagram,user_ig_375,post_1479,2025-05-10 05:04:05,4135,360,99
Instagram,user_ig_298,post_4039,2025-05-10 05:04:09,1155,203,54
Instagram,user_ig_268,post_8534,2025-05-10 05:04:17,3084,270,74
Instagram,user_ig_478,post_5244,2025-05-10 05:04:28,3672,362,21
